"record_id","time","variable","response","part","question"
3,0,"p2_q12a",2,"2","12a"
3,0,"p2_q13a",0,"2","13a"
3,0,"p2_q14a",1,"2","14a"
3,0,"p2_q15a",6,"2","15a"
3,0,"p2_q16a",1,"2","16a"
3,0,"p2_q17a",0,"2","17a"
3,0,"p2_q18a",0,"2","18a"
3,0,"p2_q19a",6,"2","19a"
3,0,"p3_q1___0",1,"3","1___0"
3,0,"p3_q1___1",0,"3","1___1"
3,0,"p3_q1___2",0,"3","1___2"
3,0,"p3_q1___3",0,"3","1___3"
3,0,"p3_q1___4",1,"3","1___4"
3,0,"p3_q1___5",0,"3","1___5"
3,0,"p3_q1___6",0,"3","1___6"
3,0,"p4_q1",0,"4","1"
3,0,"p4_q2",10,"4","2"
3,0,"p4_q3",0,"4","3"
3,0,"p4_q5",1,"4","5"
3,0,"p4_q6",0,"4","6"
3,0,"p4_q7",0,"4","7"
3,0,"p4_q9",0,"4","9"
3,0,"p4_q10",1,"4","10"
3,0,"p4_q11",4,"4","11"
3,0,"p4_q12",1,"4","12"
3,0,"p4_q13",2,"4","13"
3,0,"p4_q14",1,"4","14"
3,0,"p4_q15",1,"4","15"
3,0,"p4_q16",2,"4","16"
3,0,"p4_q17",1,"4","17"
3,0,"p4_q18",1,"4","18"
3,0,"p4_q19",5,"4","19"
3,0,"p4_q20",0,"4","20"
3,0,"p4_q21",1,"4","21"
3,0,"p4_q22",0,"4","22"
3,0,"p4_q23",1,"4","23"
3,0,"p4_q24",1,"4","24"
4,0,"p1_q1",4,"1","1"
4,0,"p1_q2",8,"1","2"
4,0,"p1_q3",8,"1","3"
4,0,"p1_q4",4,"1","4"
4,0,"p1_q5",3,"1","5"
4,0,"p1_q6",7,"1","6"
4,0,"p1_q7",6,"1","7"
4,0,"p1_q8",9,"1","8"
4,0,"p1_q9",6,"1","9"
4,0,"p1_q10",6,"1","10"
4,0,"p1_q11",7,"1","11"
4,0,"p1_q12",8,"1","12"
4,0,"p1_q13",3,"1","13"
4,0,"p1_q14",8,"1","14"
4,0,"p1_q15",6,"1","15"
4,0,"p1_q16",6,"1","16"
4,0,"p1_q17",7,"1","17"
4,0,"p1_q18",9,"1","18"
4,0,"p1_q19",7,"1","19"
4,0,"p1_q20",9,"1","20"
4,0,"p1_q22",7,"1","22"
4,0,"p1_q21",3,"1","21"
4,0,"p1_q23",8,"1","23"
4,0,"p1_q24",9,"1","24"
4,0,"p1_q25",9,"1","25"
4,0,"p1_q26",9,"1","26"
4,0,"p1_q27",3,"1","27"
4,0,"p1_q28",2,"1","28"
4,0,"p1_q29",9,"1","29"
4,0,"p1_q30",7,"1","30"
4,0,"p1_q31",3,"1","31"
4,0,"p1_q32",6,"1","32"
4,0,"p1_q33",3,"1","33"
4,0,"p1_q34",7,"1","34"
4,0,"p1_q35",3,"1","35"
4,0,"p1_q36",5,"1","36"
4,0,"p1_q37",5,"1","37"
4,0,"p1_q38",7,"1","38"
4,0,"p1_q39",8,"1","39"
4,0,"p1_q40",7,"1","40"
4,0,"p1_q41",9,"1","41"
4,0,"p2_example",0,"2",NA
4,0,"p2_q1a",6,"2","1a"
4,0,"p2_q2a",2,"2","2a"
4,0,"p2_q3a",0,"2","3a"
4,0,"p2_q4a",2,"2","4a"
4,0,"p2_q5a",3,"2","5a"
4,0,"p2_q6a",1,"2","6a"
4,0,"p2_q7a",0,"2","7a"
4,0,"p2_q8a",0,"2","8a"
4,0,"p2_q9a",3,"2","9a"
4,0,"p2_q10a",4,"2","10a"
4,0,"p2_q11a",2,"2","11a"
4,0,"p2_q12a",5,"2","12a"
4,0,"p2_q13a",3,"2","13a"
4,0,"p2_q14a",0,"2","14a"
4,0,"p2_q15a",5,"2","15a"
4,0,"p2_q16a",5,"2","16a"
4,0,"p2_q17a",4,"2","17a"
4,0,"p2_q18a",0,"2","18a"
4,0,"p2_q19a",0,"2","19a"
4,0,"p3_q1___0",0,"3","1___0"
4,0,"p3_q1___1",0,"3","1___1"
4,0,"p3_q1___2",0,"3","1___2"
4,0,"p3_q1___3",0,"3","1___3"
4,0,"p3_q1___4",0,"3","1___4"
4,0,"p3_q1___5",0,"3","1___5"
4,0,"p3_q1___6",1,"3","1___6"
4,0,"p4_q1",0,"4","1"
4,0,"p4_q2",0,"4","2"
4,0,"p4_q3",0,"4","3"
4,0,"p4_q5",0,"4","5"
4,0,"p4_q6",0,"4","6"
4,0,"p4_q7",0,"4","7"
4,0,"p4_q9",1,"4","9"
4,0,"p4_q10",0,"4","10"
4,0,"p4_q11",0,"4","11"
4,0,"p4_q12",2,"4","12"
4,0,"p4_q13",1,"4","13"
4,0,"p4_q14",0,"4","14"
4,0,"p4_q15",1,"4","15"
4,0,"p4_q16",2,"4","16"
4,0,"p4_q17",2,"4","17"
4,0,"p4_q18",0,"4","18"
4,0,"p4_q19",2,"4","19"
4,0,"p4_q20",0,"4","20"
4,0,"p4_q21",3,"4","21"
4,0,"p4_q22",2,"4","22"
